countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
Norway,Søndag,Søndag,"",NO,2021-01-03T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-01-03T00:00:00.000Z
New Zealand,Day after New Year's Day (Observed),Day after New Year's Day,"",NZ,2021-01-04T00:00:00.000Z
Scotland,New Year Holiday (Observed),New Year Holiday,"","",2021-01-04T00:00:00.000Z
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,true,GB,2021-01-04T00:00:00.000Z
Austria,Heilige Drei Könige,Heilige Drei Könige,"",AT,2021-01-06T00:00:00.000Z
Croatia,Sveta tri kralja,Sveta tri kralja,"",HR,2021-01-06T00:00:00.000Z
Finland,Loppiainen,Loppiainen,"",FI,2021-01-06T00:00:00.000Z
Italy,Epifania del Signore,Epifania del Signore,"",IT,2021-01-06T00:00:00.000Z
Poland,Święto Trzech Króli,Święto Trzech Króli,"",PL,2021-01-06T00:00:00.000Z
Spain,Epifanía del Señor,Epifanía del Señor,"",ES,2021-01-06T00:00:00.000Z
Sweden,Trettondedag jul,Trettondedag jul,"",SE,2021-01-06T00:00:00.000Z
Belarus,Рождество Христово (православное Рождество),Рождество Христово (православное Рождество),"",BY,2021-01-07T00:00:00.000Z
Ukraine,Різдво Христове (православне),Різдво Христове (православне),"",UA,2021-01-07T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-01-10T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-01-10T00:00:00.000Z
Colombia,Día de los Reyes Magos [Epiphany](Observed),Día de los Reyes Magos [Epiphany],"",CO,2021-01-11T00:00:00.000Z
Japan,成人の日,成人の日,"",JP,2021-01-11T00:00:00.000Z
India,Makar Sankranti / Pongal,Makar Sankranti / Pongal,false,IN,2021-01-14T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-01-17T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-01-17T00:00:00.000Z
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,"",US,2021-01-18T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-01-24T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-01-24T00:00:00.000Z
Australia,Australia Day,Australia Day,"",AU,2021-01-26T00:00:00.000Z
India,Republic Day,Republic Day,true,IN,2021-01-26T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-01-31T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-01-31T00:00:00.000Z
Mexico,Día de la Constitución [Constitution Day] (Observed),Día de la Constitución [Constitution Day],"",MX,2021-02-01T00:00:00.000Z
Mexico,Día de la Constitución [Constitution Day],Día de la Constitución [Constitution Day],"",MX,2021-02-05T00:00:00.000Z
New Zealand,Waitangi Day,Waitangi Day,"",NZ,2021-02-06T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-02-07T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-02-07T00:00:00.000Z
New Zealand,Waitangi Day (Observed),Waitangi Day,"",NZ,2021-02-08T00:00:00.000Z
Slovenia,Prešernov dan,Prešernov dan,"",SI,2021-02-08T00:00:00.000Z
Japan,建国記念の日,建国記念の日,"",JP,2021-02-11T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-02-14T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-02-14T00:00:00.000Z
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],"",AR,2021-02-15T00:00:00.000Z
Canada,Family Day,Family Day,"",CA,2021-02-15T00:00:00.000Z
United States,Washington's Birthday,Washington's Birthday,true,US,2021-02-15T00:00:00.000Z
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],"",AR,2021-02-16T00:00:00.000Z
Brazil,Carnaval,Carnaval,"",BR,2021-02-16T00:00:00.000Z
Brazil,Quarta-feira de cinzas (Início da Quaresma),Quarta-feira de cinzas (Início da Quaresma),"",BR,2021-02-17T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-02-21T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-02-21T00:00:00.000Z
Japan,天皇誕生日,天皇誕生日,"",JP,2021-02-23T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-02-28T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-02-28T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-03-07T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-03-07T00:00:00.000Z
Belarus,День женщин,День женщин,"",BY,2021-03-08T00:00:00.000Z
Ukraine,Міжнародний жіночий день,Міжнародний жіночий день,"",UA,2021-03-08T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-03-14T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-03-14T00:00:00.000Z
Hungary,Nemzeti ünnep,Nemzeti ünnep,"",HU,2021-03-15T00:00:00.000Z
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday] (Observed),Natalicio de Benito Juárez [Benito Juárez's birthday],"",MX,2021-03-15T00:00:00.000Z
Ireland,St. Patrick's Day,St. Patrick's Day,"",IE,2021-03-17T00:00:00.000Z
Northern Ireland,St. Patrick's Day,St. Patrick's Day,"","",2021-03-17T00:00:00.000Z
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,false,GB,2021-03-17T00:00:00.000Z
Japan,春分の日,春分の日,"",JP,2021-03-20T00:00:00.000Z
Mexico,Natalicio de Benito Juárez [Benito Juárez's birthday],Natalicio de Benito Juárez [Benito Juárez's birthday],"",MX,2021-03-21T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-03-21T00:00:00.000Z
South Africa,Human Rights Day,Human Rights Day,"",ZA,2021-03-21T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-03-21T00:00:00.000Z
Colombia,Día de San José [Saint Joseph's Day](Observed),Día de San José [Saint Joseph's Day],"",CO,2021-03-22T00:00:00.000Z
South Africa,Human Rights Day (Observed),Human Rights Day,"",ZA,2021-03-22T00:00:00.000Z
Argentina,Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],"",AR,2021-03-24T00:00:00.000Z
Denmark,Palmesøndag,Palmesøndag,"",DK,2021-03-28T00:00:00.000Z
Norway,Søndag,Søndag,"",NO,2021-03-28T00:00:00.000Z
Sweden,Söndag,Söndag,"",SE,2021-03-28T00:00:00.000Z
Argentina,Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],"",AR,2021-04-01T00:00:00.000Z
Colombia,Jueves Santo [Maundy Thursday],Jueves Santo [Maundy Thursday],"",CO,2021-04-01T00:00:00.000Z
Denmark,Skærtorsdag,Skærtorsdag,"",DK,2021-04-01T00:00:00.000Z
Norway,Skjærtorsdag,Skjærtorsdag,"",NO,2021-04-01T00:00:00.000Z
